text,amount,date,merchant,category,is_subscription,source
Покупка. Додо Пицца. 78954.00 RUB,78954,2024-05-20,Додо Пицца,Фастфуд,0,csv
Lamoda Одежда 20960,20960,2024-10-11,Lamoda,Одежда,0,manual
Сбер Налоги 12389,12389,2024-07-20,Сбер,Налоги,0,manual
KION подписка 31877,31877,2025-03-07,KION,Кино и сериалы,1,manual
Потратил 7727 рублей в ECCO на обувь,7727,2024-04-24,ECCO,Обувь,0,voice
Потратил 27610 рублей в Ашан на супермаркеты,27610,2024-06-14,Ашан,Супермаркеты,0,voice
Клиент Telegram Фриланс 59384,59384,2024-03-28,Клиент Telegram,Фриланс,0,manual
Покупка. Тануки. 96749.00 RUB,96749,2025-02-21,Тануки,Кафе и рестораны,0,csv
Покупка. Skyeng. 13810.00 RUB,13810,2024-05-12,Skyeng,Образование,0,csv
Потратил 12633 рублей в Подари жизнь на благотворительность,12633,2024-06-04,Подари жизнь,Благотворительность,0,voice
Якитория Кафе и рестораны 99548,99548,2024-05-18,Якитория,Кафе и рестораны,0,manual
Потратил 120818 рублей в Заказчик Upwork на фриланс,120818,2024-03-02,Заказчик Upwork,Фриланс,0,voice
Потратил 108392 рублей в Аэроэкспресс на транспорт,108392,2024-11-22,Аэроэкспресс,Транспорт,0,voice
Потратил 136827 рублей в Подружка на красота и уход,136827,2024-09-27,Подружка,Красота и уход,0,voice
СберПрайм Подписки 73592,73592,2024-06-13,СберПрайм,Подписки,0,manual
Потратил 24114 рублей в Сбер на налоги,24114,2024-05-15,Сбер,Налоги,0,voice
Покупка. Сбер. 21754.00 RUB,21754,2024-06-29,Сбер,Налоги,0,csv
Покупка. Skyeng. 54023.00 RUB,54023,2024-12-21,Skyeng,Образование,0,csv
Шоколадница Кафе и рестораны 15848,15848,2024-04-18,Шоколадница,Кафе и рестораны,0,manual
Магнит Продукты 100991,100991,2024-04-06,Магнит,Продукты,0,manual
Мосэнергосбыт подписка 2400,2400,2024-10-29,Мосэнергосбыт,Коммунальные услуги,1,manual
Покупка. Сбер. 81793.00 RUB,81793,2024-12-28,Сбер,Налоги,0,csv
Потратил 132304 рублей в Подружка на красота и уход,132304,2024-02-24,Подружка,Красота и уход,0,voice
РЖД Транспорт 101126,101126,2024-08-19,РЖД,Транспорт,0,manual
Потратил 104961 рублей в Booking на путешествия,104961,2024-04-06,Booking,Путешествия,0,voice
Якитория Кафе и рестораны 43093,43093,2024-12-17,Якитория,Кафе и рестораны,0,manual
СПИСАНИЕ 120886.00 KION,120886,2025-03-24,KION,Кино и сериалы,1,csv
Потратил 4398 рублей в Бургер Кинг на фастфуд,4398,2025-04-02,Бургер Кинг,Фастфуд,0,voice
Потратил 7543 рублей в Золотое Яблоко на красота и уход,7543,2024-08-31,Золотое Яблоко,Красота и уход,0,voice
ИП Иванов Зарплата 92313,92313,2024-05-15,ИП Иванов,Зарплата,0,manual
Бургер Кинг Фастфуд 113158,113158,2024-04-18,Бургер Кинг,Фастфуд,0,manual
Аэроэкспресс Транспорт 112994,112994,2024-09-17,Аэроэкспресс,Транспорт,0,manual
Wildberries Одежда 71507,71507,2024-07-08,Wildberries,Одежда,0,manual
Покупка. Бургер Кинг. 100325.00 RUB,100325,2025-01-09,Бургер Кинг,Фастфуд,0,csv
Потратил 49713 рублей в Аптека 36.6 на здоровье и аптеки,49713,2024-07-25,Аптека 36.6,Здоровье и аптеки,0,voice
Потратил 138871 рублей в Ситимобил на такси,138871,2024-11-07,Ситимобил,Такси,0,voice
Водоканал подписка 1100,1100,2024-01-26,Водоканал,Коммунальные услуги,1,manual
Потратил 57611 рублей в Мама на переводы,57611,2024-02-28,Мама,Переводы,0,voice
Покупка. Ашан. 69827.00 RUB,69827,2024-05-02,Ашан,Супермаркеты,0,csv
Потратил 59416 рублей в Шоколадница на кафе и рестораны,59416,2025-03-27,Шоколадница,Кафе и рестораны,0,voice
Покупка. Booking. 106102.00 RUB,106102,2024-07-19,Booking,Путешествия,0,csv
Потратил 70374 рублей в Ozon на техника и электроника,70374,2024-09-10,Ozon,Техника и электроника,0,voice
Потратил 91179 рублей в Тройка на общественный транспорт,91179,2024-11-22,Тройка,Общественный транспорт,0,voice
СПИСАНИЕ 864.00 KION,864,2024-02-18,KION,Кино и сериалы,1,csv
Покупка. Ситимобил. 125029.00 RUB,125029,2025-01-13,Ситимобил,Такси,0,csv
Оплатил подписку KION 18257 рублей,18257,2024-03-26,KION,Кино и сериалы,1,voice
Uber Russia Такси 37230,37230,2024-01-07,Uber Russia,Такси,0,manual
ООО Техно Зарплата 87620,87620,2024-01-11,ООО Техно,Зарплата,0,manual
Потратил 44804 рублей в Uber Russia на такси,44804,2024-12-13,Uber Russia,Такси,0,voice
Покупка. ФНС. 92362.00 RUB,92362,2024-08-30,ФНС,Налоги,0,csv
World Class Спорт 64933,64933,2024-08-29,World Class,Спорт,0,manual
Потратил 148755 рублей в Бургер Кинг на фастфуд,148755,2024-12-14,Бургер Кинг,Фастфуд,0,voice
IVI подписка 399,399,2025-01-21,IVI,Кино и сериалы,1,manual
Потратил 79899 рублей в РЖД на транспорт,79899,2025-02-15,РЖД,Транспорт,0,voice
Сбер Инвестор Инвестиции 128674,128674,2025-01-11,Сбер Инвестор,Инвестиции,0,manual
Потратил 127581 рублей в ECCO на обувь,127581,2024-05-09,ECCO,Обувь,0,voice
Потратил 92488 рублей в Ralf Ringer на обувь,92488,2024-06-03,Ralf Ringer,Обувь,0,voice
Freelance клиент Фриланс 127020,127020,2024-02-27,Freelance клиент,Фриланс,0,manual
PlayStation Store Развлечения 5483,5483,2024-03-16,PlayStation Store,Развлечения,0,manual
Покупка. Аптека 36.6. 37178.00 RUB,37178,2024-07-01,Аптека 36.6,Здоровье и аптеки,0,csv
Оплатил подписку Мосэнергосбыт 2400 рублей,2400,2024-12-22,Мосэнергосбыт,Коммунальные услуги,1,voice
Потратил 23452 рублей в Ригла на здоровье и аптеки,23452,2024-04-09,Ригла,Здоровье и аптеки,0,voice
Потратил 71857 рублей в М.Видео на техника и электроника,71857,2025-03-25,М.Видео,Техника и электроника,0,voice
Анна Переводы 45912,45912,2024-05-15,Анна,Переводы,0,manual
ООО Техно Зарплата 102555,102555,2024-10-28,ООО Техно,Зарплата,0,manual
Потратил 50007 рублей в Ригла на здоровье и аптеки,50007,2024-01-22,Ригла,Здоровье и аптеки,0,voice
Покупка. Fitmost. 90037.00 RUB,90037,2025-03-03,Fitmost,Спорт,0,csv
Aviasales Путешествия 119332,119332,2024-10-17,Aviasales,Путешествия,0,manual
Потратил 28935 рублей в Русфонд на благотворительность,28935,2024-01-05,Русфонд,Благотворительность,0,voice
Оплатил подписку Водоканал 1100 рублей,1100,2024-03-17,Водоканал,Коммунальные услуги,1,voice
СПИСАНИЕ 890.00 РОСТЕЛЕКОМ,890,2024-03-24,Ростелеком,Интернет и связь,1,csv
Оплатил подписку Okko 77310 рублей,77310,2024-01-08,Okko,Кино и сериалы,1,voice
Потратил 74241 рублей в Золотое Яблоко на красота и уход,74241,2025-02-26,Золотое Яблоко,Красота и уход,0,voice
Потратил 128072 рублей в World Class на спорт,128072,2024-06-05,World Class,Спорт,0,voice
Лента Продукты 218,218,2024-01-26,Лента,Продукты,0,manual
Steam Развлечения 74306,74306,2025-02-06,Steam,Развлечения,0,manual
Потратил 37443 рублей в Билайн на интернет и связь,37443,2025-01-10,Билайн,Интернет и связь,0,voice
Покупка. Подорожник. 21209.00 RUB,21209,2024-05-28,Подорожник,Общественный транспорт,0,csv
Netflix Подписки 65252,65252,2025-02-19,Netflix,Подписки,0,manual
ИП Иванов Зарплата 110822,110822,2024-07-23,ИП Иванов,Зарплата,0,manual
Потратил 81507 рублей в Вкусно и точка на фастфуд,81507,2024-03-29,Вкусно и точка,Фастфуд,0,voice
Покупка. X-Fit. 84586.00 RUB,84586,2025-02-15,X-Fit,Спорт,0,csv
Покупка. World Class. 52349.00 RUB,52349,2024-05-08,World Class,Спорт,0,csv
Покупка. Аэроэкспресс. 52353.00 RUB,52353,2024-06-03,Аэроэкспресс,Транспорт,0,csv
Оплатил подписку IVI 399 рублей,399,2024-11-17,IVI,Кино и сериалы,1,voice
Потратил 98607 рублей в Подружка на красота и уход,98607,2025-02-04,Подружка,Красота и уход,0,voice
Потратил 36385 рублей в Сервис оплаты на прочее,36385,2024-09-26,Сервис оплаты,Прочее,0,voice
Подружка Красота и уход 132122,132122,2025-04-23,Подружка,Красота и уход,0,manual
ИП Иванов Зарплата 122832,122832,2024-06-30,ИП Иванов,Зарплата,0,manual
Ригла Здоровье и аптеки 107596,107596,2024-08-24,Ригла,Здоровье и аптеки,0,manual
Покупка. Пятёрочка. 110391.00 RUB,110391,2024-02-15,Пятёрочка,Продукты,0,csv
Покупка. ФНС. 79319.00 RUB,79319,2025-02-06,ФНС,Налоги,0,csv
СберПрайм подписка 299,299,2024-11-13,СберПрайм,Подписки,1,manual
Потратил 14084 рублей в Нетология на образование,14084,2025-01-21,Нетология,Образование,0,voice
Ozon Техника и электроника 1610,1610,2024-08-24,Ozon,Техника и электроника,0,manual
Потратил 22242 рублей в Русфонд на благотворительность,22242,2024-01-29,Русфонд,Благотворительность,0,voice
Потратил 87470 рублей в PlayStation Store на развлечения,87470,2024-10-31,PlayStation Store,Развлечения,0,voice
Покупка. Вкусно и точка. 126263.00 RUB,126263,2024-12-19,Вкусно и точка,Фастфуд,0,csv
Потратил 133958 рублей в Wildberries на одежда,133958,2025-01-13,Wildberries,Одежда,0,voice
Покупка. Заказчик Upwork. 53806.00 RUB,53806,2024-09-21,Заказчик Upwork,Фриланс,0,csv
Покупка. S7 Airlines. 129891.00 RUB,129891,2024-03-10,S7 Airlines,Транспорт,0,csv
Покупка. Wildberries Plus. 78927.00 RUB,78927,2024-11-17,Wildberries Plus,Подписки,0,csv
Потратил 52662 рублей в KION на кино и сериалы,52662,2024-02-28,KION,Кино и сериалы,0,voice
Потратил 31778 рублей в Шоколадница на кафе и рестораны,31778,2024-09-23,Шоколадница,Кафе и рестораны,0,voice
Потратил 27209 рублей в KFC на фастфуд,27209,2024-08-30,KFC,Фастфуд,0,voice
Лента Продукты 14639,14639,2025-04-19,Лента,Продукты,0,manual
Вкусно и точка Фастфуд 126854,126854,2024-04-04,Вкусно и точка,Фастфуд,0,manual
Прочий платеж Прочее 68278,68278,2025-02-24,Прочий платеж,Прочее,0,manual
Booking Путешествия 32345,32345,2024-08-09,Booking,Путешествия,0,manual
Потратил 48496 рублей в S7 Airlines на транспорт,48496,2024-03-13,S7 Airlines,Транспорт,0,voice
Потратил 134140 рублей в Прочий платеж на прочее,134140,2025-01-14,Прочий платеж,Прочее,0,voice
Потратил 124872 рублей в Клиент Telegram на фриланс,124872,2024-09-02,Клиент Telegram,Фриланс,0,voice
СПИСАНИЕ 129277.00 OKKO,129277,2024-07-07,Okko,Кино и сериалы,1,csv
ООО Техно Зарплата 101190,101190,2024-12-23,ООО Техно,Зарплата,0,manual
Подари жизнь Благотворительность 109336,109336,2025-02-20,Подари жизнь,Благотворительность,0,manual
Потратил 74347 рублей в Аптека 36.6 на здоровье и аптеки,74347,2024-08-22,Аптека 36.6,Здоровье и аптеки,0,voice
Потратил 79417 рублей в Додо Пицца на фастфуд,79417,2024-01-18,Додо Пицца,Фастфуд,0,voice
Потратил 93039 рублей в Анна на переводы,93039,2024-03-12,Анна,Переводы,0,voice
Подружка Красота и уход 72638,72638,2024-01-05,Подружка,Красота и уход,0,manual
Uber Russia Такси 131962,131962,2024-04-17,Uber Russia,Такси,0,manual
ECCO Обувь 102449,102449,2024-09-19,ECCO,Обувь,0,manual
Покупка. Тануки. 39739.00 RUB,39739,2024-06-29,Тануки,Кафе и рестораны,0,csv
Алексей Переводы 36760,36760,2024-05-22,Алексей,Переводы,0,manual
Русфонд Благотворительность 17930,17930,2025-04-14,Русфонд,Благотворительность,0,manual
Сервис оплаты Прочее 123717,123717,2024-11-06,Сервис оплаты,Прочее,0,manual
Покупка. Компания ООО Ромашка. 132951.00 RUB,132951,2025-02-01,Компания ООО Ромашка,Зарплата,0,csv
Потратил 33977 рублей в ИП Иванов на зарплата,33977,2024-12-23,ИП Иванов,Зарплата,0,voice
Покупка. Zarina. 91301.00 RUB,91301,2024-10-26,Zarina,Одежда,0,csv
Потратил 11827 рублей в РЖД на путешествия,11827,2024-01-16,РЖД,Путешествия,0,voice
Потратил 25357 рублей в Тинькофф Инвестиции на инвестиции,25357,2024-12-06,Тинькофф Инвестиции,Инвестиции,0,voice
Покупка. Додо Пицца. 124938.00 RUB,124938,2024-06-14,Додо Пицца,Фастфуд,0,csv
Покупка. ФНС. 62077.00 RUB,62077,2024-02-23,ФНС,Налоги,0,csv
Ситимобил Такси 110165,110165,2025-04-17,Ситимобил,Такси,0,manual
Покупка. Шоколадница. 65712.00 RUB,65712,2024-02-28,Шоколадница,Кафе и рестораны,0,csv
Ашан Супермаркеты 98176,98176,2024-11-06,Ашан,Супермаркеты,0,manual
Потратил 84239 рублей в Саша на переводы,84239,2024-02-25,Саша,Переводы,0,voice
Freelance клиент Фриланс 34971,34971,2024-11-22,Freelance клиент,Фриланс,0,manual
Потратил 51356 рублей в Fitmost на спорт,51356,2024-05-09,Fitmost,Спорт,0,voice
СПИСАНИЕ 3800.00 ЖКХ СЕРВИС,3800,2024-04-13,ЖКХ Сервис,Коммунальные услуги,1,csv
Тинькофф Инвестиции Инвестиции 138600,138600,2025-02-18,Тинькофф Инвестиции,Инвестиции,0,manual
Потратил 6405 рублей в Подари жизнь на благотворительность,6405,2024-11-18,Подари жизнь,Благотворительность,0,voice
Потратил 8763 рублей в Компания ООО Ромашка на зарплата,8763,2025-02-18,Компания ООО Ромашка,Зарплата,0,voice
РЖД Транспорт 107011,107011,2024-10-17,РЖД,Транспорт,0,manual
Skyeng Образование 48626,48626,2024-12-15,Skyeng,Образование,0,manual
Потратил 54438 рублей в Сбер Инвестор на инвестиции,54438,2024-10-19,Сбер Инвестор,Инвестиции,0,voice
Сервис оплаты Прочее 92352,92352,2024-07-01,Сервис оплаты,Прочее,0,manual
Потратил 17654 рублей в Booking на путешествия,17654,2024-08-12,Booking,Путешествия,0,voice
Горздрав Здоровье и аптеки 18627,18627,2024-10-18,Горздрав,Здоровье и аптеки,0,manual
Тануки Кафе и рестораны 78228,78228,2024-02-21,Тануки,Кафе и рестораны,0,manual
Потратил 13544 рублей в Додо Пицца на фастфуд,13544,2024-11-03,Додо Пицца,Фастфуд,0,voice
Потратил 58775 рублей в Skillbox на образование,58775,2025-02-24,Skillbox,Образование,0,voice
Okko Кино и сериалы 17863,17863,2025-03-22,Okko,Кино и сериалы,0,manual
Потратил 140145 рублей в Uber Russia на такси,140145,2024-10-21,Uber Russia,Такси,0,voice
СПИСАНИЕ 299.00 СБЕРПРАЙМ,299,2024-07-23,СберПрайм,Подписки,1,csv
Aviasales Путешествия 29115,29115,2024-10-25,Aviasales,Путешествия,0,manual
СПИСАНИЕ 3800.00 ЖКХ СЕРВИС,3800,2024-06-22,ЖКХ Сервис,Коммунальные услуги,1,csv
Потратил 87747 рублей в Ригла на здоровье и аптеки,87747,2025-03-30,Ригла,Здоровье и аптеки,0,voice
Потратил 53588 рублей в ФНС на налоги,53588,2024-10-07,ФНС,Налоги,0,voice
Покупка. Сервис оплаты. 16389.00 RUB,16389,2024-04-30,Сервис оплаты,Прочее,0,csv
Покупка. Мосэнергосбыт. 9319.00 RUB,9319,2024-06-26,Мосэнергосбыт,Коммунальные услуги,0,csv
Покупка. Кофемания. 21177.00 RUB,21177,2025-03-30,Кофемания,Кафе и рестораны,0,csv
Потратил 70962 рублей в Skillbox на образование,70962,2025-01-05,Skillbox,Образование,0,voice
Потратил 130229 рублей в Ашан на супермаркеты,130229,2024-09-16,Ашан,Супермаркеты,0,voice
Wildberries Plus подписка 199,199,2024-06-04,Wildberries Plus,Подписки,1,manual
Потратил 14561 рублей в Подари жизнь на благотворительность,14561,2024-01-14,Подари жизнь,Благотворительность,0,voice
ФНС Налоги 99504,99504,2024-12-15,ФНС,Налоги,0,manual
Потратил 144883 рублей в ИП Иванов на зарплата,144883,2024-09-03,ИП Иванов,Зарплата,0,voice
Покупка. Глобус. 98938.00 RUB,98938,2024-12-22,Глобус,Супермаркеты,0,csv
Покупка. Аэроэкспресс. 111941.00 RUB,111941,2024-10-08,Аэроэкспресс,Транспорт,0,csv
РЖД Транспорт 30981,30981,2025-04-04,РЖД,Транспорт,0,manual
РЖД Путешествия 50813,50813,2024-06-24,РЖД,Путешествия,0,manual
Потратил 60876 рублей в Аптека 36.6 на здоровье и аптеки,60876,2024-02-17,Аптека 36.6,Здоровье и аптеки,0,voice
Потратил 108332 рублей в World Class на спорт,108332,2025-01-17,World Class,Спорт,0,voice
Потратил 65565 рублей в ФНС на налоги,65565,2025-02-20,ФНС,Налоги,0,voice
Потратил 33267 рублей в Ашан на супермаркеты,33267,2024-08-12,Ашан,Супермаркеты,0,voice
Потратил 82396 рублей в Uber Russia на такси,82396,2024-06-28,Uber Russia,Такси,0,voice
Потратил 76704 рублей в Booking на путешествия,76704,2024-03-07,Booking,Путешествия,0,voice
РЖД Путешествия 32130,32130,2024-12-02,РЖД,Путешествия,0,manual
Потратил 142563 рублей в Шоколадница на кафе и рестораны,142563,2024-04-15,Шоколадница,Кафе и рестораны,0,voice
Покупка. Водоканал. 57796.00 RUB,57796,2024-08-15,Водоканал,Коммунальные услуги,0,csv
Freelance клиент Фриланс 144597,144597,2024-05-29,Freelance клиент,Фриланс,0,manual
Мама Переводы 70182,70182,2024-06-12,Мама,Переводы,0,manual
Клиент Telegram Фриланс 27412,27412,2024-01-28,Клиент Telegram,Фриланс,0,manual
Покупка. Ralf Ringer. 127506.00 RUB,127506,2024-05-23,Ralf Ringer,Обувь,0,csv
Потратил 136625 рублей в Тануки на кафе и рестораны,136625,2024-04-28,Тануки,Кафе и рестораны,0,voice
СПИСАНИЕ 97669.00 KION,97669,2025-01-06,KION,Кино и сериалы,1,csv
Потратил 61681 рублей в Прочий платеж на прочее,61681,2024-12-23,Прочий платеж,Прочее,0,voice
Покупка. Подружка. 119001.00 RUB,119001,2024-02-28,Подружка,Красота и уход,0,csv
Потратил 70907 рублей в Лента на продукты,70907,2024-05-22,Лента,Продукты,0,voice
Потратил 22199 рублей в X-Fit на спорт,22199,2024-01-31,X-Fit,Спорт,0,voice
PlayStation Store Развлечения 129904,129904,2024-01-10,PlayStation Store,Развлечения,0,manual
DNS Техника и электроника 11693,11693,2024-04-24,DNS,Техника и электроника,0,manual
Потратил 113056 рублей в Подорожник на общественный транспорт,113056,2024-09-29,Подорожник,Общественный транспорт,0,voice
Потратил 142013 рублей в METRO на супермаркеты,142013,2025-01-25,METRO,Супермаркеты,0,voice
Покупка. Спортмастер. 88187.00 RUB,88187,2025-04-17,Спортмастер,Обувь,0,csv
Покупка. Сервис оплаты. 56815.00 RUB,56815,2025-01-22,Сервис оплаты,Прочее,0,csv
Покупка. Перекрёсток. 113840.00 RUB,113840,2025-03-19,Перекрёсток,Продукты,0,csv
Покупка. Горздрав. 15023.00 RUB,15023,2025-02-17,Горздрав,Здоровье и аптеки,0,csv
Покупка. Додо Пицца. 75395.00 RUB,75395,2025-03-15,Додо Пицца,Фастфуд,0,csv
Skillbox Образование 149027,149027,2025-01-28,Skillbox,Образование,0,manual
Потратил 122558 рублей в Ростелеком на интернет и связь,122558,2025-01-16,Ростелеком,Интернет и связь,0,voice
Оплатил подписку Яндекс Плюс 399 рублей,399,2024-12-15,Яндекс Плюс,Подписки,1,voice
Потратил 142342 рублей в Steam на развлечения,142342,2024-05-31,Steam,Развлечения,0,voice
Zarina Одежда 10170,10170,2024-11-11,Zarina,Одежда,0,manual
Потратил 65720 рублей в VK Play на развлечения,65720,2025-02-04,VK Play,Развлечения,0,voice
Потратил 80500 рублей в Саша на переводы,80500,2024-10-18,Саша,Переводы,0,voice
Потратил 46917 рублей в ООО Техно на зарплата,46917,2024-08-15,ООО Техно,Зарплата,0,voice
Золотое Яблоко Красота и уход 2375,2375,2024-08-26,Золотое Яблоко,Красота и уход,0,manual
METRO Супермаркеты 145961,145961,2024-04-21,METRO,Супермаркеты,0,manual
Покупка. Аптека 36.6. 20902.00 RUB,20902,2024-05-21,Аптека 36.6,Здоровье и аптеки,0,csv
Booking Путешествия 16838,16838,2024-08-13,Booking,Путешествия,0,manual
Покупка. Uber Russia. 72439.00 RUB,72439,2024-05-12,Uber Russia,Такси,0,csv
Потратил 38559 рублей в Мосэнергосбыт на коммунальные услуги,38559,2025-03-22,Мосэнергосбыт,Коммунальные услуги,0,voice
Потратил 61043 рублей в Booking на путешествия,61043,2024-02-28,Booking,Путешествия,0,voice
Потратил 132883 рублей в Саша на переводы,132883,2025-03-16,Саша,Переводы,0,voice
Подружка Красота и уход 11048,11048,2024-10-10,Подружка,Красота и уход,0,manual
Потратил 67959 рублей в Заказчик Upwork на фриланс,67959,2024-05-11,Заказчик Upwork,Фриланс,0,voice
Перекрёсток Продукты 11776,11776,2024-11-03,Перекрёсток,Продукты,0,manual
Оплатил подписку IVI 399 рублей,399,2024-08-15,IVI,Подписки,1,voice
Потратил 53538 рублей в Бургер Кинг на фастфуд,53538,2024-06-15,Бургер Кинг,Фастфуд,0,voice
Покупка. X-Fit. 109093.00 RUB,109093,2024-02-06,X-Fit,Спорт,0,csv
Потратил 37557 рублей в Анна на переводы,37557,2024-01-13,Анна,Переводы,0,voice
Zarina Одежда 87864,87864,2024-07-27,Zarina,Одежда,0,manual
Алексей Переводы 77136,77136,2024-11-14,Алексей,Переводы,0,manual
Магнит Продукты 11744,11744,2024-05-28,Магнит,Продукты,0,manual
Потратил 27898 рублей в S7 Airlines на транспорт,27898,2024-11-07,S7 Airlines,Транспорт,0,voice
Подорожник Общественный транспорт 133266,133266,2025-02-05,Подорожник,Общественный транспорт,0,manual
Fitmost Спорт 56376,56376,2024-07-12,Fitmost,Спорт,0,manual
Покупка. Прочий платеж. 39391.00 RUB,39391,2024-07-14,Прочий платеж,Прочее,0,csv
Потратил 58922 рублей в ФНС на налоги,58922,2024-10-16,ФНС,Налоги,0,voice
МегаФон Интернет и связь 138398,138398,2025-02-12,МегаФон,Интернет и связь,0,manual
Покупка. Глобус. 137530.00 RUB,137530,2024-09-23,Глобус,Супермаркеты,0,csv
Потратил 51174 рублей в Лэтуаль на красота и уход,51174,2025-03-04,Лэтуаль,Красота и уход,0,voice
Потратил 86212 рублей в X-Fit на спорт,86212,2024-05-04,X-Fit,Спорт,0,voice
Потратил 119540 рублей в Русфонд на благотворительность,119540,2024-06-10,Русфонд,Благотворительность,0,voice
Покупка. Тинькофф Инвестиции. 63238.00 RUB,63238,2024-08-15,Тинькофф Инвестиции,Инвестиции,0,csv
Сбер Инвестор Инвестиции 20940,20940,2024-06-29,Сбер Инвестор,Инвестиции,0,manual
Потратил 95023 рублей в Нетология на образование,95023,2024-11-30,Нетология,Образование,0,voice
Оплатил подписку Водоканал 1100 рублей,1100,2024-08-02,Водоканал,Коммунальные услуги,1,voice
Потратил 64260 рублей в СберПрайм на подписки,64260,2025-02-01,СберПрайм,Подписки,0,voice
Покупка. Горздрав. 36262.00 RUB,36262,2024-11-06,Горздрав,Здоровье и аптеки,0,csv
VK Play Развлечения 82322,82322,2024-03-01,VK Play,Развлечения,0,manual
Кофемания Кафе и рестораны 132439,132439,2024-03-16,Кофемания,Кафе и рестораны,0,manual
Покупка. X-Fit. 51981.00 RUB,51981,2025-04-05,X-Fit,Спорт,0,csv
Потратил 43768 рублей в Uber Russia на такси,43768,2024-03-02,Uber Russia,Такси,0,voice
Покупка. Ригла. 145429.00 RUB,145429,2024-12-30,Ригла,Здоровье и аптеки,0,csv
Оплатил подписку Водоканал 1100 рублей,1100,2024-01-18,Водоканал,Коммунальные услуги,1,voice
Потратил 43811 рублей в Сервис оплаты на прочее,43811,2024-02-07,Сервис оплаты,Прочее,0,voice
S7 Airlines Транспорт 101791,101791,2025-04-07,S7 Airlines,Транспорт,0,manual
Потратил 105515 рублей в Ригла на здоровье и аптеки,105515,2024-12-22,Ригла,Здоровье и аптеки,0,voice
Покупка. Skyeng. 76960.00 RUB,76960,2024-03-01,Skyeng,Образование,0,csv
Покупка. Lamoda. 28301.00 RUB,28301,2025-01-04,Lamoda,Одежда,0,csv
Покупка. Ашан. 93100.00 RUB,93100,2024-08-17,Ашан,Супермаркеты,0,csv
Горздрав Здоровье и аптеки 114263,114263,2024-05-28,Горздрав,Здоровье и аптеки,0,manual
Покупка. Сбер. 35336.00 RUB,35336,2025-01-10,Сбер,Налоги,0,csv
Покупка. Ситимобил. 133579.00 RUB,133579,2024-02-12,Ситимобил,Такси,0,csv
Покупка. РЖД. 97010.00 RUB,97010,2024-12-11,РЖД,Транспорт,0,csv
Анна Переводы 84050,84050,2024-08-12,Анна,Переводы,0,manual
Покупка. Ситимобил. 73266.00 RUB,73266,2025-04-28,Ситимобил,Такси,0,csv
Потратил 77998 рублей в ФНС на налоги,77998,2024-09-09,ФНС,Налоги,0,voice
Покупка. Wildberries. 135756.00 RUB,135756,2025-04-04,Wildberries,Одежда,0,csv
Оплатил подписку МегаФон 620 рублей,620,2024-06-12,МегаФон,Интернет и связь,1,voice
Потратил 11042 рублей в ФНС на налоги,11042,2025-02-20,ФНС,Налоги,0,voice
Тинькофф Инвестиции Инвестиции 136138,136138,2024-05-22,Тинькофф Инвестиции,Инвестиции,0,manual
Fitmost Спорт 26124,26124,2024-06-26,Fitmost,Спорт,0,manual
Оплатил подписку IVI 399 рублей,399,2024-09-06,IVI,Кино и сериалы,1,voice
Потратил 75672 рублей в Золотое Яблоко на красота и уход,75672,2025-04-25,Золотое Яблоко,Красота и уход,0,voice
Покупка. PlayStation Store. 27868.00 RUB,27868,2025-04-18,PlayStation Store,Развлечения,0,csv
Оплатил подписку Wildberries Plus 199 рублей,199,2024-04-15,Wildberries Plus,Подписки,1,voice
Покупка. Нетология. 44313.00 RUB,44313,2024-01-15,Нетология,Образование,0,csv
Aviasales Путешествия 141061,141061,2025-02-13,Aviasales,Путешествия,0,manual
Тройка Общественный транспорт 6807,6807,2024-07-08,Тройка,Общественный транспорт,0,manual
Покупка. Подорожник. 111855.00 RUB,111855,2025-01-09,Подорожник,Общественный транспорт,0,csv
Потратил 119023 рублей в Подружка на красота и уход,119023,2024-05-31,Подружка,Красота и уход,0,voice
Бургер Кинг Фастфуд 113365,113365,2024-09-09,Бургер Кинг,Фастфуд,0,manual
Потратил 73044 рублей в Steam на развлечения,73044,2025-01-09,Steam,Развлечения,0,voice
Компания ООО Ромашка Зарплата 20776,20776,2025-01-16,Компания ООО Ромашка,Зарплата,0,manual
Покупка. Подари жизнь. 19540.00 RUB,19540,2024-06-16,Подари жизнь,Благотворительность,0,csv
Ситимобил Такси 72430,72430,2024-08-20,Ситимобил,Такси,0,manual
Покупка. Саша. 82575.00 RUB,82575,2025-04-01,Саша,Переводы,0,csv
Потратил 136704 рублей в Глобус на супермаркеты,136704,2024-06-11,Глобус,Супермаркеты,0,voice
Покупка. Тройка. 2139.00 RUB,2139,2024-05-05,Тройка,Общественный транспорт,0,csv
S7 Airlines Транспорт 57776,57776,2024-12-10,S7 Airlines,Транспорт,0,manual
Подорожник Общественный транспорт 39747,39747,2024-09-05,Подорожник,Общественный транспорт,0,manual
Покупка. Прочий платеж. 130263.00 RUB,130263,2024-05-24,Прочий платеж,Прочее,0,csv
Покупка. РЖД. 23305.00 RUB,23305,2024-09-21,РЖД,Транспорт,0,csv
Потратил 113904 рублей в Тинькофф Инвестиции на инвестиции,113904,2024-02-04,Тинькофф Инвестиции,Инвестиции,0,voice
СПИСАНИЕ 1100.00 ВОДОКАНАЛ,1100,2024-04-01,Водоканал,Коммунальные услуги,1,csv
